year,age,race,sex,marital,educ,degree,sibs,agekdbrn,coninc,region,partyid,wrkstat,hrs1,earnrs,happy,health,relig,attend,postlife,socrel,news,tvhours,satjob,class,satfin,polviews,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,fear,owngun,hunt,gunlaw,grass,courts,fepol,fefam,fehire,vote_last_pres_election
1998,73,white,female,married,12,high school,6,35,NA,south,"independent (neither, no response)",keeping house,NA,1,pretty happy,good,catholic,several times a week,don't know,about once a year,every day,4,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",a great deal,only some,a great deal,a great deal,only some,don't know,only some,a great deal,only some,a great deal,a great deal,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,agree,agree,iap,voted
2018,66,white,female,married,12,high school,4,17,84120,south,strong republican,retired,NA,0,very happy,fair,catholic,about once or twice a year,yes,almost daily,every day,2,iap,working class,pretty well satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,iap,voted
1998,55,white,male,married,18,graduate,3,19,58849,south,not very strong republican,working full time,60,2,pretty happy,excellent,protestant,every week,yes,iap,iap,2,very satisfied,middle class,pretty well satisfied,conservative,a great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,a great deal,only some,a great deal,a great deal,only some,a great deal,no,yes,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,49,white,male,married,12,high school,1,22,152135.07879,south,other party,working full time,20,2,very happy,good,protestant,every week,yes,iap,iap,NA,very satisfied,upper class,pretty well satisfied,extremely conservative,hardly any,only some,a great deal,hardly any,only some,hardly any,hardly any,hardly any,only some,only some,hardly any,hardly any,a great deal,no,yes,"yes, respondent does",oppose,should be legal,too harshly,iap,iap,iap,voted
2018,42,white,male,divorced,12,high school,5,NA,84120,south,"independent (neither, no response)",working full time,60,3,pretty happy,excellent,catholic,every week,yes,iap,iap,NA,moderately satisfied,working class,more or less satisfied,don't know,only some,only some,a great deal,a great deal,a great deal,a great deal,only some,a great deal,only some,a great deal,a great deal,a great deal,a great deal,no,yes,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
1998,43,white,female,married,NA,bachelor's,1,NA,58849,south,not very strong democrat,working full time,42,2,pretty happy,good,protestant,never,yes,several times a month,every day,1,moderately satisfied,working class,pretty well satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,disagree,iap,did not vote
1998,28,black,male,never married,16,bachelor's,3,NA,20062,midwest,not very strong democrat,working part time,16,1,very happy,excellent,protestant,2-3 times a month,yes,about once a year,every day,2,very satisfied,middle class,pretty well satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",oppose,iap,not harshly enough,disagree,disagree,iap,did not vote
1998,78,white,male,married,6,less than high school,6,20,12037,south,strong democrat,retired,NA,0,pretty happy,poor,protestant,never,yes,several times a month,never,3,iap,working class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,strongly agree,iap,did not vote
2018,21,white,male,never married,15,high school,1,NA,1402,west,other party,in school,NA,1,pretty happy,iap,jewish,about once or twice a year,yes,several times a year,once a week,0,iap,upper class,pretty well satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,hardly any,only some,hardly any,a great deal,a great deal,only some,only some,iap,iap,iap,iap,should be legal,don't know,disagree,disagree,disagree,voted
1998,80,white,male,married,12,less than high school,6,26,40124,northeast,not very strong democrat,retired,NA,0,pretty happy,good,catholic,about once a month,iap,iap,iap,NA,iap,middle class,more or less satisfied,slightly liberal,only some,only some,only some,only some,hardly any,hardly any,hardly any,only some,only some,only some,only some,hardly any,only some,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,66,black,female,never married,12,high school,6,NA,NA,midwest,no answer,keeping house,NA,NA,pretty happy,fair,no answer,nearly every week,no,several times a year,a few times a week,6,very satisfied,middle class,not satisfied at all,extremely conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,refused,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,agree,disagree,no answer
2018,56,white,female,divorced,16,high school,5,25,47317.5,south,"independent, close to democrat",working full time,40,1,pretty happy,excellent,none,never,no,iap,iap,NA,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",hardly any,hardly any,hardly any,only some,hardly any,only some,only some,only some,only some,a great deal,a great deal,hardly any,hardly any,no,yes,"no, neither r nor spouse hunts",favor,should be legal,don't know,iap,iap,iap,voted
1998,49,white,male,never married,12,high school,3,NA,25412,midwest,not very strong republican,working full time,70,1,pretty happy,good,protestant,never,yes,never,every day,3,a little dissatisfied,working class,not satisfied at all,"moderate, middle of the road",hardly any,hardly any,only some,hardly any,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,only some,only some,iap,iap,iap,iap,should be legal,about right,disagree,disagree,iap,did not vote
1998,48,white,male,married,12,high school,6,25,25412,northeast,strong democrat,working full time,NA,2,pretty happy,good,protestant,about once or twice a year,don't know,once or twice a week,once a week,4,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",favor,iap,not harshly enough,disagree,disagree,iap,did not vote
1998,61,white,male,married,8,less than high school,5,35,148796,west,not very strong republican,working full time,50,2,pretty happy,good,catholic,about once or twice a year,yes,about once a month,every day,2,very satisfied,middle class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,24,other,male,never married,13,high school,3,NA,NA,west,strong democrat,working full time,47,1,pretty happy,excellent,christian,several times a year,yes,never,once a week,3,very satisfied,middle class,more or less satisfied,liberal,only some,only some,only some,only some,only some,hardly any,hardly any,hardly any,hardly any,only some,hardly any,hardly any,hardly any,iap,iap,iap,iap,should be legal,don't know,no answer,disagree,iap,did not vote
1998,45,white,female,married,12,high school,6,22,72223,south,not very strong democrat,working full time,40,2,very happy,excellent,protestant,every week,iap,iap,iap,NA,very satisfied,middle class,more or less satisfied,slightly conservative,a great deal,a great deal,only some,only some,only some,only some,hardly any,a great deal,hardly any,only some,a great deal,only some,a great deal,no,yes,"yes, spouse does",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
2018,30,black,female,never married,16,bachelor's,3,NA,14896.249999999998,south,other party,in school,NA,1,not too happy,good,none,never,no,iap,iap,NA,iap,working class,more or less satisfied,liberal,hardly any,only some,hardly any,hardly any,hardly any,only some,only some,a great deal,only some,only some,a great deal,hardly any,hardly any,no,no,"no, neither r nor spouse hunts",favor,should be legal,too harshly,iap,iap,iap,voted
1998,51,white,female,never married,17,graduate,2,NA,72223,northeast,not very strong republican,working full time,50,1,very happy,excellent,catholic,less than once a year,no,iap,iap,1,very satisfied,middle class,pretty well satisfied,slightly conservative,a great deal,a great deal,only some,a great deal,hardly any,hardly any,hardly any,only some,hardly any,a great deal,only some,hardly any,hardly any,no,no,"no, neither r nor spouse hunts",favor,don't know,not harshly enough,iap,iap,iap,voted
2018,30,other,male,never married,16,bachelor's,1,NA,57832.5,west,"independent, close to republican",working full time,60,1,pretty happy,fair,protestant,never,yes,once or twice a week,never,1,a little dissatisfied,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,strongly disagree,iap,did not vote
2018,69,white,female,married,16,bachelor's,4,28,112160,midwest,strong democrat,retired,NA,1,very happy,excellent,catholic,2-3 times a month,yes,several times a month,every day,1,iap,middle class,pretty well satisfied,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,strongly disagree,iap,voted
1998,37,other,female,married,13,high school,1,23,58849,west,"independent (neither, no response)",working full time,40,2,pretty happy,fair,protestant,2-3 times a month,yes,several times a month,once a week,3,very satisfied,working class,more or less satisfied,slightly conservative,a great deal,only some,only some,only some,only some,only some,only some,only some,hardly any,only some,only some,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,agree,agree,iap,voted
1998,47,white,female,married,20,graduate,1,32,NA,midwest,strong republican,working full time,40,2,pretty happy,good,protestant,every week,yes,about once a year,every day,1,moderately satisfied,middle class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,disagree,iap,voted
2018,61,white,female,married,16,bachelor's,5,33,152135.07879,midwest,"independent, close to republican","unemployed, laid off, looking for work",NA,3,pretty happy,good,catholic,2-3 times a month,yes,several times a year,every day,2,moderately satisfied,middle class,not satisfied at all,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, spouse does",favor,iap,not harshly enough,disagree,strongly disagree,iap,voted
1998,55,white,female,married,12,high school,2,20,72223,northeast,"independent, close to democrat",working full time,38,2,not too happy,good,catholic,every week,yes,several times a month,every day,2,moderately satisfied,middle class,pretty well satisfied,slightly conservative,only some,only some,only some,only some,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,hardly any,hardly any,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
2018,85,white,male,married,12,high school,1,20,84120,midwest,"independent, close to republican",retired,NA,0,very happy,fair,catholic,less than once a year,yes,iap,iap,NA,iap,middle class,pretty well satisfied,liberal,a great deal,only some,a great deal,a great deal,hardly any,a great deal,hardly any,a great deal,a great deal,a great deal,a great deal,only some,a great deal,yes,yes,"no, neither r nor spouse hunts",oppose,should not be legal,not harshly enough,iap,iap,iap,voted
2018,40,white,female,married,18,graduate,3,NA,70100,south,"independent, close to democrat",working full time,42,2,pretty happy,fair,none,never,yes,iap,iap,NA,very satisfied,working class,more or less satisfied,liberal,hardly any,only some,only some,a great deal,hardly any,only some,only some,a great deal,hardly any,a great deal,a great deal,hardly any,a great deal,no,yes,"no, neither r nor spouse hunts",oppose,should be legal,too harshly,iap,iap,iap,did not vote
2018,25,white,male,never married,17,bachelor's,3,NA,NA,south,"independent, close to republican",working full time,40,3,pretty happy,good,protestant,every week,yes,iap,iap,NA,very satisfied,middle class,more or less satisfied,conservative,only some,only some,only some,hardly any,only some,only some,only some,only some,hardly any,only some,only some,only some,only some,no,refused,"yes, respondent does",oppose,should not be legal,about right,iap,iap,iap,voted
2018,21,white,male,never married,15,high school,1,NA,1402,west,other party,in school,NA,1,pretty happy,iap,jewish,about once or twice a year,yes,several times a year,once a week,0,iap,upper class,pretty well satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,hardly any,only some,hardly any,a great deal,a great deal,only some,only some,iap,iap,iap,iap,should be legal,don't know,disagree,disagree,disagree,voted
2018,48,black,male,divorced,13,high school,1,28,112160,midwest,not very strong democrat,working full time,53,2,pretty happy,iap,none,never,yes,several times a year,never,1,moderately satisfied,working class,more or less satisfied,slightly liberal,only some,hardly any,hardly any,a great deal,hardly any,only some,only some,hardly any,hardly any,only some,only some,only some,only some,iap,iap,iap,iap,don't know,about right,disagree,disagree,neither agree nor disagree,did not vote
2018,54,black,female,divorced,16,bachelor's,2,26,47317.5,midwest,"independent, close to republican",working full time,48,2,very happy,iap,no answer,don't know,yes,once or twice a week,less than once a week,1,very satisfied,working class,not satisfied at all,liberal,hardly any,hardly any,only some,only some,only some,only some,hardly any,only some,hardly any,a great deal,a great deal,only some,only some,iap,iap,iap,iap,don't know,about right,disagree,disagree,iap,voted
1998,62,white,male,married,8,less than high school,3,27,12037,midwest,strong democrat,retired,NA,1,pretty happy,fair,protestant,never,no,never,every day,8,iap,lower class,not satisfied at all,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,agree,iap,voted
1998,59,white,female,married,18,graduate,6,21,72223,south,strong democrat,working full time,40,2,pretty happy,good,catholic,about once or twice a year,no,several times a year,every day,2,a little dissatisfied,middle class,more or less satisfied,liberal,only some,a great deal,only some,only some,a great deal,only some,hardly any,a great deal,hardly any,a great deal,a great deal,only some,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,did not vote
1998,43,black,male,married,11,less than high school,4,17,22737,midwest,strong democrat,working full time,40,2,very happy,good,protestant,never,no,several times a year,once a week,5,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",hardly any,only some,a great deal,a great deal,only some,a great deal,only some,a great deal,only some,only some,a great deal,only some,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,voted
2018,44,white,female,married,20,graduate,6,35,98140,west,not very strong republican,working full time,45,2,not too happy,iap,protestant,about once a month,yes,several times a year,less than once a week,1,moderately satisfied,middle class,pretty well satisfied,slightly conservative,only some,a great deal,a great deal,a great deal,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,don't know,disagree,strongly disagree,neither agree nor disagree,did not vote
1998,37,white,female,married,9,high school,6,21,29424,west,"independent (neither, no response)",keeping house,NA,2,pretty happy,good,catholic,every week,no,once or twice a week,once a week,2,moderately satisfied,working class,not satisfied at all,conservative,only some,only some,only some,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,agree,iap,no answer
1998,32,white,female,married,12,high school,2,24,48149,midwest,strong republican,keeping house,NA,2,pretty happy,fair,none,never,don't know,several times a month,once a week,2,moderately satisfied,middle class,more or less satisfied,liberal,only some,only some,only some,only some,only some,a great deal,only some,only some,only some,a great deal,only some,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
1998,50,white,male,divorced,16,bachelor's,1,25,NA,northeast,"independent, close to democrat",working full time,40,2,very happy,excellent,catholic,less than once a year,don't know,iap,iap,2,moderately satisfied,middle class,pretty well satisfied,"moderate, middle of the road",a great deal,only some,hardly any,only some,only some,only some,hardly any,a great deal,only some,a great deal,don't know,only some,only some,no,no,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,voted
1998,74,white,male,married,11,less than high school,2,NA,22737,midwest,"independent, close to republican",retired,NA,0,pretty happy,good,protestant,less than once a year,yes,about once a year,every day,3,iap,working class,more or less satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,agree,iap,voted
2018,34,white,female,married,16,bachelor's,1,26,112160,midwest,"independent (neither, no response)","with a job, but not at work because of temporary illness, vacation, strike",NA,2,pretty happy,good,protestant,nearly every week,yes,once or twice a week,less than once a week,1,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"yes, respondent does",favor,iap,not harshly enough,disagree,strongly disagree,iap,did not vote
2018,72,white,female,divorced,20,bachelor's,3,26,152135.07879,west,strong democrat,retired,NA,1,very happy,fair,jewish,2-3 times a month,yes,several times a year,a few times a week,3,iap,middle class,not satisfied at all,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
2018,21,white,female,never married,15,high school,5,NA,NA,south,not very strong republican,working part time,36,3,pretty happy,iap,catholic,about once a month,yes,almost daily,once a week,0,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",only some,only some,hardly any,hardly any,only some,only some,hardly any,a great deal,hardly any,only some,a great deal,a great deal,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,strongly disagree,disagree,did not vote
1998,25,white,female,married,12,high school,4,22,48149,south,not very strong republican,working full time,40,2,very happy,excellent,protestant,every week,iap,iap,iap,NA,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,hardly any,a great deal,only some,only some,only some,only some,a great deal,yes,yes,"yes, spouse does",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,53,white,female,never married,9,less than high school,6,21,NA,south,not very strong democrat,working part time,30,2,pretty happy,good,none,never,no,about once a month,never,2,a little dissatisfied,working class,more or less satisfied,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,strongly disagree,strongly agree,ineligible
1998,54,white,female,married,10,less than high school,4,19,NA,midwest,"independent (neither, no response)",keeping house,NA,0,very happy,good,protestant,every week,yes,several times a year,a few times a week,8,very satisfied,middle class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",oppose,iap,about right,don't know,disagree,iap,did not vote
2018,54,white,male,married,16,graduate,2,29,152135.07879,south,strong democrat,working full time,60,3,very happy,excellent,jewish,several times a year,no,iap,iap,NA,very satisfied,upper class,pretty well satisfied,slightly liberal,only some,only some,a great deal,a great deal,hardly any,only some,a great deal,a great deal,a great deal,a great deal,a great deal,hardly any,a great deal,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,too harshly,iap,iap,iap,voted
2018,50,white,female,married,20,graduate,1,32,57832.5,midwest,not very strong democrat,working full time,45,3,pretty happy,excellent,catholic,2-3 times a month,yes,iap,iap,NA,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",a great deal,only some,a great deal,no answer,hardly any,a great deal,hardly any,only some,hardly any,only some,a great deal,hardly any,a great deal,no,yes,"yes, spouse does",favor,should be legal,not harshly enough,iap,iap,iap,voted
1998,42,white,female,married,12,high school,4,20,72223,west,"independent (neither, no response)",working part time,30,2,pretty happy,good,protestant,less than once a year,no,about once a month,a few times a week,3,very satisfied,working class,more or less satisfied,don't know,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"yes, spouse does",favor,iap,not harshly enough,disagree,disagree,iap,did not vote
2018,34,white,female,married,16,bachelor's,1,26,112160,midwest,"independent (neither, no response)","with a job, but not at work because of temporary illness, vacation, strike",NA,2,pretty happy,good,protestant,nearly every week,yes,once or twice a week,less than once a week,1,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"yes, respondent does",favor,iap,not harshly enough,disagree,strongly disagree,iap,did not vote
2018,48,white,male,married,18,bachelor's,6,22,9638.75,midwest,not very strong democrat,working full time,50,3,pretty happy,excellent,catholic,several times a week,yes,about once a year,a few times a week,1,very satisfied,working class,more or less satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,strongly agree,ineligible
1998,32,white,male,divorced,14,associate/junior college,2,19,29424,midwest,"independent (neither, no response)",working full time,40,1,pretty happy,good,protestant,about once or twice a year,yes,several times a year,never,2,very satisfied,working class,not satisfied at all,conservative,only some,hardly any,a great deal,only some,only some,don't know,hardly any,only some,only some,hardly any,don't know,hardly any,only some,iap,iap,iap,iap,should be legal,not harshly enough,agree,disagree,iap,did not vote
1998,36,white,female,married,14,associate/junior college,6,19,88273,midwest,strong republican,working full time,40,2,very happy,good,catholic,nearly every week,yes,several times a year,a few times a week,1,very satisfied,middle class,more or less satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,iap,voted
1998,20,white,female,never married,13,high school,3,NA,8025,midwest,not very strong republican,in school,NA,1,pretty happy,good,protestant,several times a year,yes,several times a year,a few times a week,1,iap,working class,not satisfied at all,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,disagree,iap,did not vote
1998,62,white,male,married,12,high school,1,26,NA,northeast,"independent, close to republican",retired,NA,0,very happy,good,no answer,every week,yes,iap,iap,2,iap,middle class,pretty well satisfied,extremely conservative,a great deal,a great deal,only some,hardly any,hardly any,only some,only some,a great deal,hardly any,only some,hardly any,hardly any,hardly any,no,yes,"yes, respondent does",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,70,white,male,married,9,less than high school,2,20,2453.5,south,not very strong democrat,retired,NA,0,very happy,poor,protestant,less than once a year,yes,several times a month,never,8,iap,working class,not satisfied at all,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",oppose,iap,about right,disagree,strongly disagree,iap,voted
2018,74,white,female,married,12,high school,3,18,57832.5,south,"independent, close to republican",retired,NA,0,very happy,iap,protestant,every week,yes,several times a month,once a week,6,iap,middle class,pretty well satisfied,slightly conservative,only some,only some,a great deal,only some,hardly any,hardly any,hardly any,only some,only some,a great deal,only some,hardly any,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,agree,agree,iap,voted
2018,54,white,male,married,20,bachelor's,2,NA,84120,west,strong democrat,working full time,45,2,very happy,good,protestant,every week,yes,several times a year,every day,0,very satisfied,working class,more or less satisfied,extremely liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,strongly disagree,agree,voted
1998,87,white,female,widowed,12,high school,1,28,NA,midwest,not very strong democrat,retired,NA,1,no answer,good,protestant,nearly every week,yes,several times a month,once a week,4,iap,middle class,pretty well satisfied,"moderate, middle of the road",hardly any,only some,only some,a great deal,only some,only some,only some,only some,hardly any,only some,only some,hardly any,only some,iap,iap,iap,iap,don't know,about right,agree,disagree,iap,voted
2018,81,white,female,widowed,12,high school,6,23,13143.75,south,not very strong democrat,retired,NA,0,pretty happy,iap,none,never,don't know,once or twice a week,never,3,iap,lower class,more or less satisfied,slightly liberal,hardly any,hardly any,hardly any,hardly any,hardly any,a great deal,a great deal,only some,only some,only some,a great deal,hardly any,a great deal,iap,iap,iap,iap,should be legal,don't know,disagree,agree,agree,did not vote
2018,32,white,female,married,14,high school,2,30,47317.5,midwest,not very strong democrat,working full time,45,2,pretty happy,good,none,never,yes,once or twice a week,less than once a week,1,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,iap,voted
1998,46,white,male,divorced,13,high school,2,NA,48149,south,not very strong democrat,working full time,68,1,very happy,excellent,protestant,several times a week,yes,no answer,every day,0,very satisfied,upper class,pretty well satisfied,slightly conservative,only some,only some,only some,only some,only some,hardly any,only some,a great deal,only some,a great deal,a great deal,a great deal,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,agree,iap,voted
1998,39,white,male,married,12,high school,3,21,148796,midwest,strong republican,working full time,89,3,very happy,excellent,catholic,several times a year,yes,iap,iap,3,a little dissatisfied,middle class,pretty well satisfied,slightly conservative,only some,only some,only some,only some,only some,hardly any,only some,a great deal,only some,a great deal,only some,a great deal,a great deal,no,yes,"yes, respondent does",oppose,should not be legal,not harshly enough,iap,iap,iap,voted
2018,26,black,male,never married,16,bachelor's,2,NA,NA,south,"independent, close to democrat",keeping house,NA,2,not too happy,excellent,protestant,2-3 times a month,yes,iap,iap,NA,very satisfied,middle class,not satisfied at all,conservative,a great deal,only some,a great deal,only some,hardly any,only some,hardly any,only some,only some,only some,a great deal,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should be legal,too harshly,iap,iap,iap,did not vote
1998,34,white,female,married,16,bachelor's,4,27,72223,south,"independent (neither, no response)",working part time,20,2,very happy,excellent,protestant,several times a year,yes,iap,iap,0,very satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,only some,hardly any,only some,only some,a great deal,only some,only some,a great deal,hardly any,only some,yes,yes,"yes, spouse does",favor,don't know,not harshly enough,iap,iap,iap,voted
2018,61,white,female,married,12,high school,1,21,47317.5,northeast,"independent (neither, no response)","with a job, but not at work because of temporary illness, vacation, strike",NA,1,pretty happy,good,none,several times a year,yes,iap,iap,NA,no answer,working class,pretty well satisfied,"moderate, middle of the road",only some,only some,hardly any,only some,hardly any,only some,hardly any,only some,only some,only some,a great deal,only some,only some,no,yes,"no, neither r nor spouse hunts",favor,should be legal,not harshly enough,iap,iap,iap,voted
1998,49,white,female,married,12,high school,4,21,NA,south,strong republican,working full time,40,2,very happy,excellent,catholic,several times a week,yes,iap,iap,5,very satisfied,working class,more or less satisfied,extremely conservative,a great deal,only some,hardly any,hardly any,hardly any,only some,hardly any,a great deal,hardly any,a great deal,a great deal,only some,hardly any,yes,no,"no, neither r nor spouse hunts",oppose,should not be legal,not harshly enough,iap,iap,iap,voted
1998,35,white,male,married,12,high school,2,NA,106998,northeast,not very strong republican,working full time,53,2,pretty happy,excellent,none,never,no,about once a month,every day,4,very satisfied,working class,more or less satisfied,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,iap,don't know
1998,41,black,male,never married,12,high school,6,NA,535,south,not very strong democrat,working full time,52,1,not too happy,good,protestant,every week,yes,iap,iap,6,a little dissatisfied,working class,more or less satisfied,"moderate, middle of the road",hardly any,hardly any,only some,only some,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,only some,no,yes,"yes, respondent does",favor,should be legal,not harshly enough,iap,iap,iap,voted
2018,55,white,female,widowed,14,associate/junior college,3,24,14896.249999999998,midwest,not very strong republican,working full time,45,2,pretty happy,iap,protestant,several times a week,yes,several times a month,never,0,very satisfied,working class,more or less satisfied,extremely conservative,a great deal,a great deal,a great deal,only some,only some,a great deal,hardly any,only some,hardly any,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,agree,strongly agree,iap,voted
2018,37,white,female,divorced,8,less than high school,1,17,38555,south,not very strong republican,working full time,45,1,not too happy,good,none,never,yes,iap,iap,NA,a little dissatisfied,lower class,not satisfied at all,conservative,only some,hardly any,only some,hardly any,a great deal,only some,hardly any,only some,hardly any,a great deal,only some,hardly any,a great deal,yes,no,"no, neither r nor spouse hunts",favor,don't know,not harshly enough,iap,iap,iap,did not vote
2018,61,white,female,divorced,12,high school,2,NA,7886.249999999999,midwest,other party,other,NA,0,pretty happy,fair,protestant,about once a month,no,iap,iap,NA,iap,lower class,not satisfied at all,conservative,only some,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,only some,hardly any,only some,hardly any,a great deal,no,no,"no, neither r nor spouse hunts",oppose,should be legal,not harshly enough,iap,iap,iap,voted
