"number","crn","name","days","time","room","instructor","avail_max"
"HIST 490-02","10443","Senior Seminar","M    ","7:00 - 10:00 pm","MAIN 009","Jess Pearson","11 / 20"
"INTD 103-01","10863","Writing U.S. Academic Culture"," T R ","3:00 - 4:30 pm","CARN 304","Jake Mohan","1 / 16"
"INTD 194-F1","10400","Forever Young: The Vampire Comes of Age","M W F","2:20 - 3:20 pm","ARTCOM 202","Brigetta AbelLaurie Adamson","0 / 18"
"INTD 330-01","10445","Mellon Seminar: Exploring Academia","  W  ","12:00 - 1:00 pm","MAIN 011","Karin Vélez","3 / 10"
"INTD 401-01","10446","Urban Studies Colloquium","M    ","7:00 - 8:30 pm","CARN 105","Laura Smith","4 / 16"
"INTD 421-01","10447","Human Rights and Humanitarianism Colloquium","M    ","8:00 - 9:30 am","CARN 05","Wendy Weber","4 / 12"
"INTL 111-01","10449","Intro to International Studies: Literature and Global Culture"," T R ","9:40 - 11:10 am","CARN 404","David Moore","5 / 24"
"INTL 111-F1","10998","Intro to International Studies, Literature and Global Culture"," T R ","8:00 - 9:30 am","CARN 404","David Moore","1 / 18"
"INTL 113-01","10450","Intro to International Studies: Border-crossing in the Age of Globalization","M W F","9:40 - 10:40 am","CARN 404","Nadya Nedelsky","1 / 22"
"INTL 210-01","10097","Globalization and Contemporary Art"," T R ","9:40 - 11:10 am","ARTCOM 102","Christopher Tradowsky","0 / 20"
"INTL 245-02","11011","Intro to Intl Human Rights"," T R ","1:20 - 2:50 pm","HUM 214","James von Geldern","10 / 22"
"INTL 253-01","10084","Comparative Muslim Cultures","M W F","2:20 - 3:20 pm","CARN 404","Jenna Rice Rahaim","5 / 20"
"INTL 258-01","10452","The Middle East Through Film","M    ","7:00 - 10:00 pm","CARN 404","Jenna Rice Rahaim","1 / 20"
"INTL 294-01","10907","Us vs Them: The Cold War and Its Culture"," T R ","9:40 - 11:10 am","THEATR 201","James von Geldern","-2 / 20"
"INTL 316-01","10796","Mapping the New World: Explorations, Encounters, and Disasters","M W F","12:00 - 1:00 pm","HUM 213","Daniel Coral Reyes","-3 / 15"
"INTL 320-01","10658","Global Political Economy"," T R ","9:40 - 11:10 am","OLRI 300","Sheharyar Imran","1 / 20"
"INTL 335-01","10087","Global Generosity","M W F","3:30 - 4:30 pm","CARN 404","Jenna Rice Rahaim","2 / 20"
"INTL 367-01","10454","Postcolonial Theory"," T R ","1:20 - 2:50 pm","CARN 404","David Moore","-2 / 22"
"INTL 485-01","10457","Senior Seminar: Confronting Global Hatred","M    ","7:00 - 10:00 pm","CARN 411","Nadya Nedelsky","3 / 11"
"JAPA 101-01","10458","First Year Japanese I","M W F","9:40 - 10:40 am","HUM 110","Arthur Mitchell","6 / 20"
"JAPA 101-02","10459","First Year Japanese I","M W F","3:30 - 4:30 pm","HUM 112","Sachiko Dorsey","-5 / 20"
"JAPA 101-L1","10460","First Year Japanese I Lab","M    ","7:00 - 8:00 pm","HUM 102","Kyoshin Sasahara","-4 / 15"
"JAPA 101-L2","10461","First Year Japanese I Lab"," T   ","2:20 - 3:20 pm","HUM 102","Kyoshin Sasahara","8 / 15"
"JAPA 101-L3","10462","First Year Japanese I Lab"," T   ","3:30 - 4:30 pm","HUM 217","Kyoshin Sasahara","2 / 15"
"JAPA 203-01","10463","Second Year Japanese I","M W F","2:20 - 3:20 pm","HUM 110","Ritsuko Larson","5 / 20"
"JAPA 203-02","10464","Second Year Japanese I","M W F","3:30 - 4:30 pm","HUM 110","Ritsuko Larson","9 / 20"
"JAPA 203-L1","10465","Second Year Japanese I Lab","  W  ","7:00 - 8:00 pm","HUM 110","Kyoshin Sasahara","2 / 15"
"JAPA 203-L2","10466","Second Year Japanese I Lab","   R ","2:20 - 3:20 pm","HUM 102","Kyoshin Sasahara","10 / 15"
"JAPA 203-L3","10467","Second Year Japanese I Lab","   R ","3:30 - 4:30 pm","HUM 113","Kyoshin Sasahara","7 / 15"
"JAPA 254-01","10468","Japanese Film and Animation: From the Salaryman to the Shojo","M W F","1:10 - 2:10 pm","HUM 110","Arthur Mitchell","0 / 20"
"JAPA 282-F1","10470","Language and Identity in Japanese, Asian American, and Other Communities"," T R ","9:40 - 11:10 am","HUM 110","Satoko Suzuki","0 / 17"
"JAPA 305-01","10473","Third Year Japanese I","M W F","12:00 - 1:00 pm","HUM 110","Ritsuko Larson","7 / 20"
"JAPA 305-L1","10474","Third Year Japanese I Lab","  W  ","2:20 - 3:20 pm","HUM 113","Kyoshin Sasahara","4 / 12"
"JAPA 305-L2","10475","Third Year Japanese I Lab","  W  ","3:30 - 4:30 pm","HUM 113","Kyoshin Sasahara","7 / 12"
"JAPA 336-01","10866","Japanese Sociocultural Linguistics"," T R ","1:20 - 2:50 pm","HUM 110","Satoko Suzuki","14 / 20"
"JAPA 407-01","10478","Fourth Year Japanese I","M W F","2:20 - 3:20 pm","HUM 112","Sachiko Dorsey","10 / 20"
"LATI 181-01","10422","Introduction to Latin America"," T R ","3:00 - 4:30 pm","THEATR 203","Ernesto Capello","1 / 21"
"LATI 258-F1","10735","Immigrant Voices in Times of Fear"," T R ","8:00 - 9:30 am","CARN 204","Erika Busse-Cárdenas","0 / 16"
"LATI 294-01","10860","Politics of Latin America","M W F","2:20 - 3:20 pm","CARN 206","Felipe Ribeiro","9 / 25"
"LATI 307-01","10788","Introduction to the Analysis of Hispanic Texts","M W F","3:30 - 4:30 pm","HUM 216","Toni Dorca","3 / 15"
"LATI 316-01","10795","Mapping the New World: Explorations, Encounters, and Disasters","M W F","12:00 - 1:00 pm","HUM 213","Daniel Coral Reyes","-3 / 15"
"LATI 386-01","10804","Constructions of a Female Killer","M W F","9:40 - 10:40 am","HUM 214","Alicia Muñoz","-1 / 15"
"LATI 394-01","10886","Visualizing Empire"," T R ","9:40 - 11:10 am","HUM 215","Ernesto Capello","6 / 15"
"LATI 394-02","10891","Cronicas, Snapshots of Brazil","M W F","10:50 - 11:50 am","HUM 212","Fernanda Bartolomei-Merlin","1 / 15"
"LATI 488-01","10442","Senior Seminar","M    ","7:00 - 10:00 pm","MAIN 003","Ernesto Capello","4 / 14"
"LING 100-01","10479","Introduction to Linguistics","M W F","1:10 - 2:10 pm","HUM 314","Zuoyu Tian","4 / 30"
"LING 104-01","10480","Sounds of the World’s Languages"," T R ","9:40 - 11:10 am","HUM 400","Christina Esposito","0 / 20"
"LING 194-01","10481","Introduction to Computational Methods in Linguistics","M W F","2:20 - 3:20 pm","HUM 314","Zuoyu Tian","5 / 20"
"LING 205-01","10483","Phonology"," T R ","1:20 - 2:50 pm","HUM 400","Marianne Milligan","6 / 20"
"LING 282-F1","10472","Language and Identity in Japanese, Asian American, and Other Communities"," T R ","9:40 - 11:10 am","HUM 110","Satoko Suzuki","0 / 17"
"LING 300-01","10484","Linguistic Analysis","  W  ","7:00 - 10:00 pm","HUM 216","Christina Esposito","1 / 15"
"LING 309-01","10793","Introduction to Hispanic Linguistics","M W F","9:40 - 10:40 am","HUM 212","Claire Lozano","6 / 15"
"LING 336-01","10867","Japanese Sociocultural Linguistics"," T R ","1:20 - 2:50 pm","HUM 110","Satoko Suzuki","14 / 20"
"LING 375-01","10903","History of the Spanish Language"," T R ","9:40 - 11:10 am","HUM 216","Cynthia Kauffeld","10 / 15"
"LING 394-01","10485","Topics in Morphology","M W F","1:10 - 2:10 pm","THEATR 201","Marianne Milligan","6 / 20"
"LING 394-03","10906","Natural Language Processing"," T R ","3:00 - 4:30 pm","OLRI 245","Suhas Arehalli","7 / 20"
"MATH 135-01","10520","Applied Multivariable Calculus I","M W F","2:20 - 3:20 pm","THEATR 202","Yariana Diaz","-3 / 24"
"MATH 135-02","10521","Applied Multivariable Calculus I","M W F","3:30 - 4:30 pm","THEATR 202","Yariana Diaz","-4 / 24"
"MATH 135-03","10522","Applied Multivariable Calculus I"," T R ","3:00 - 4:30 pm","OLRI 254","Kristin Heysse","0 / 24"
"MATH 135-F1","10523","Applied Multivariable Calculus I","M W F","2:20 - 3:20 pm","THEATR 201","Lori Ziegelmeier","1 / 18"
"MATH 137-01","10524","Applied Multivariable Calculus II","M W F","8:30 - 9:30 am","OLRI 241","Daniel O'Loughlin","7 / 24"
"MATH 137-02","10525","Applied Multivariable Calculus II","M W F","9:40 - 10:40 am","OLRI 241","Daniel O'Loughlin","1 / 24"
"MATH 137-03","10526","Applied Multivariable Calculus II","M W F","2:20 - 3:20 pm","THEATR 206","Paul Herstedt","1 / 24"
"MATH 236-01","10527","Linear Algebra","M W F","9:40 - 10:40 am","THEATR 206","Lori Ziegelmeier","-6 / 20"
"MATH 236-02","10528","Linear Algebra","M W F","10:50 - 11:50 am","THEATR 206","Lori Ziegelmeier","-1 / 20"
"MATH 237-01","10529","Applied Multivariable Calculus III","M W F","1:10 - 2:10 pm","OLRI 254","William Grodzicki","1 / 20"
"MATH 237-02","10530","Applied Multivariable Calculus III","M W F","2:20 - 3:20 pm","OLRI 254","William Grodzicki","-2 / 20"
"MATH 279-01","10531","Discrete Mathematics","M W F","9:40 - 10:40 am","THEATR 201","Robert Angarone","5 / 20"
"MATH 279-02","10532","Discrete Mathematics","M W F","1:10 - 2:10 pm","OLRI 241","Dave Ehren","6 / 20"
"MATH 279-03","10533","Discrete Mathematics","M W F","3:30 - 4:30 pm","THEATR 206","Paul Herstedt","2 / 20"
"MATH 312-01","10534","Differential Equations"," T R ","8:00 - 9:30 am","OLRI 254","Will Mitchell","-4 / 20"
"MATH 354-01","10535","Probability"," T R ","3:00 - 4:30 pm","THEATR 205","Alicia Johnson","-7 / 20"
"MATH 375-01","10537","Graph Theory"," T R ","1:20 - 2:50 pm","OLRI 254","Kristin Heysse","-6 / 20"
"MATH 377-01","10538","Real Analysis","M W F","9:40 - 10:40 am","OLRI 245","Taryn Flock","-1 / 16"
"MATH 377-02","10910","Real Analysis","M W F","10:50 - 11:50 am","OLRI 245","Taryn Flock","1 / 16"
"MATH 479-01","10517","Network Science","M W F","10:50 - 11:50 am","THEATR 201","Andrew Beveridge","-6 / 16"
"MATH 494-01","10539","Partial Differential Equations"," T R ","9:40 - 11:10 am","OLRI 245","Will Mitchell","0 / 16"
"MCST 110-01","10551","Texts and Power: Foundations of Media and Cultural Studies"," T R ","1:20 - 2:50 pm","OLRI 300","John Kim","3 / 16"
"MCST 110-02","10552","Texts and Power: Foundations of Media and Cultural Studies","M W F","1:10 - 2:10 pm","HUM 402","Michael Griffin","4 / 16"
"MCST 114-01","10553","News Reporting and Writing","M    ","7:00 - 10:00 pm","HUM 400","Howard Sinker","1 / 20"
"MCST 128-01","10554","Film Analysis/Visual Culture","M W F","9:40 - 10:40 am","HUM 401","Bradley Stiffler","1 / 24"
"MCST 160-01","10555","Culture Power Difference"," T R ","3:00 - 4:30 pm","OLRI 270","Tia-Simone Gardner","0 / 16"
"MCST 194-01","10557","Environmental Issues and the Media","M W F","10:50 - 11:50 am","OLRI 243","Michael Griffin","7 / 22"
"MCST 194-02","10559","Critical Race and Digital Studies"," T R ","1:20 - 2:50 pm","OLRI 258","Tia-Simone GardnerGetiria OnsongoAisling Quigley","2 / 16"
"MCST 194-F1","10561","AI Literacy and Building Resilience to Misinformation","M W F","3:30 - 4:30 pm","HUM 226","Michael GriffinMozhdeh KhodarahmiTamatha Perlman","0 / 17"
"MCST 232-01","10562","Fundamentals of Video Production"," T R ","1:20 - 2:50 pm","HUM 412","Morgan Adamson","5 / 12"
"MCST 258-01","10453","The Middle East Through Film","M    ","7:00 - 10:00 pm","CARN 404","Jenna Rice Rahaim","1 / 20"
"MCST 284-01","10072","Radical Reelism: Indigeneity, Politics, and Visual Culture","M W  ","7:00 - 8:30 pm","HUM 215","Kirisitina Sailiata","14 / 20"
"MCST 294-01","10563","Blackness and Images","M W F","3:30 - 4:30 pm","HUM 402","Tia-Simone Gardner","6 / 16"
"MCST 294-02","10873","Introduction to Critical Digital Geographies"," T R ","9:40 - 11:10 am","CARN 06A","Liz Calhoun","10 / 20"
"MCST 388-01","10564","Critical and Creative Practices of Everyday Life"," T R ","9:40 - 11:10 am","ARTCOM 202","Morgan Adamson","3 / 16"
"MCST 488-01","10566","Advanced Topics Seminar","M    ","1:10 - 4:30 pm","THEATR 101","John Kim","3 / 12"
"MUSI 110-01","10567","Introduction to Western Classical Music","M W F","9:40 - 10:40 am","MUSIC 228","Geli Li","8 / 25"
"MUSI 113-01","10568","Musicianship","M W F","9:40 - 10:40 am","MUSIC 219","Victoria Malawey","0 / 25"
"MUSI 153-01","10569","Electronic Music"," T R ","3:00 - 4:30 pm","MUSIC 219","Reid Kruger","-1 / 12"
"MUSI 233-01","10570","Musical Architectures","M W F","10:50 - 11:50 am","MUSIC 228","Geli Li","6 / 16"
"MUSI 254-F1","10571","Cover Songs","M W F","10:50 - 11:50 am","MUSIC 219","Victoria Malawey","0 / 15"
"MUSI 294-01","10572","Music and Words: An Arts Writing Workshop"," T R ","1:20 - 2:50 pm","MUSIC 228","Mark Mazullo","3 / 16"
"MUSI 342-01","10574","Sacred, Secular, Sublime: Music and Meaning in Europe, 1300-1800"," T R ","3:00 - 4:30 pm","MUSIC 228","Mark Mazullo","8 / 16"
"MUSI 370-01","10575","Conducting"," T R ","9:40 - 11:10 am","MUSIC 113","Michael McGaghie","1 / 8"
"MUSI 405-01","10576","Ethnomusicology"," T R ","9:40 - 11:10 am","MUSIC 228","Chuen-Fung Wong","10 / 16"
"MUSI 70-01","10578","Wind Symphony","M    ","7:15 - 8:45 pm","MUSIC 116","Aaron Isakson","21 / 50"
"MUSI 72-01","10579","African Music Ensemble"," T R ","6:45 - 8:15 pm","MUSIC 116","Sowah Mensah","6 / 30"
"MUSI 74-01","10580","Macalester Concert Choir","M WR ","4:45 - 6:15 pm","MUSIC 113","Michael McGaghie","9 / 50"
"MUSI 76-01","10581","Macalester Chorale"," T   ","4:45 - 6:15 pm","MUSIC 113   R   6:30 - 8:00 pmMUSIC 113","Michael McGaghie","17 / 80"
"MUSI 80-01","10583","Mac Jazz Band","M W  ","4:45 - 6:15 pm","MUSIC 116","Joan Griffith","10 / 30"
"MUSI 84-01","10585","Pipe Band","  W  ","6:30 - 10:00 pm","MUSIC 116","Michael Breidenbach","19 / 30"
"MUSI 88-01","10587","Macalester Symphony Orchestra"," T R ","4:45 - 6:15 pm","MUSIC 116","Mark Mandarano","26 / 70"
"MUSI 90-01","10588","Mac Early Music Ensemble","  W  ","5:15 - 6:45 pm","MUSIC 121","Clea Galhano","17 / 20"
"NSCI 488-01","10589","Neuroscience Capstone","M    ","12:00 - 1:00 pm","OLRI 370","Darcy Burgund","11 / 20"
"PHIL 100-01","10590","Introduction to Philosophy: Love and Friendship","M W F","10:50 - 11:50 am","MAIN 009","Geoffrey Gorham","1 / 20"
"PHIL 100-02","10949","Introduction to Philosophy: Knowledge, Value, and the Meaning of Life"," T R ","1:20 - 2:50 pm","MAIN 010","Rotem Herrmann","3 / 20"
"PHIL 100-F1","10591","Introduction to Philosophy: Love and Friendship","M W F","9:40 - 10:40 am","MAIN 009","Geoffrey Gorham","1 / 18"
"PHIL 111-01","10592","Introduction to Symbolic Logic"," T R ","1:20 - 2:50 pm","HUM 314","Bixin Guo","8 / 20"
"PHIL 111-02","10593","Introduction to Symbolic Logic"," T R ","3:00 - 4:30 pm","HUM 314","Bixin Guo","10 / 20"
"PHIL 121-01","10594","Introduction to Ethics","M W F","1:10 - 2:10 pm","MAIN 009","Samuel Asarnow","0 / 20"
"PHIL 121-F1","10595","Introduction to Ethics","M W F","2:20 - 3:20 pm","MAIN 009","Samuel Asarnow","0 / 18"
"PHIL 200-01","10596","Ancient and Medieval Philosophies"," T R ","3:00 - 4:30 pm","MAIN 010","Rotem Herrmann","2 / 20"
"PHIL 220-01","10901","Bioethics"," T R ","3:00 - 4:30 pm","MAIN 111","Amy Ihlan","7 / 20"
"PHIL 224-01","10598","Philosophy of Law"," T R ","9:40 - 11:10 am","HUM 214","Sumeet Patwardhan","1 / 15"
"PHIL 294-02","10600","Philosophy of Peace, Violence, and Protest"," T R ","9:40 - 11:10 am","MAIN 011","Amy Ihlan","13 / 20"
"PHIL 294-03","10411","Freedom and Its Discontents"," T R ","1:20 - 2:50 pm","HUM 213","David Martyn","9 / 15"
"PHIL 394-01","10601","How Should We Live? Lessons From South Asia"," T R ","1:20 - 2:50 pm","HUM 112","Sumeet Patwardhan","8 / 15"
"PE 03-01","10604","Beginning Social Dance","M    ","7:00 - 8:30 pm","LEOCTR STUDIO 1","Julie Kendle","2 / 20"
"PE 04-01","10605","Karate I","M W  ","3:30 - 4:30 pm","LEOCTR STUDIO 1","Joel Ertl","9 / 15"
"PE 06-01","10606","Yoga I"," T R ","2:00 - 3:00 pm","LEOCTR STUDIO 1","Jordyn LehmannSara Augustin","9 / 20"
"PE 06-02","10607","Yoga I"," T R ","3:00 - 4:00 pm","LEOCTR STUDIO 1","Jordyn LehmannSara Augustin","4 / 20"
"PE 06-03","10608","Yoga I","M W  ","5:00 - 6:00 pm","LEOCTR STUDIO 1","Sara Augustin","-2 / 20"
"PE 14-01","10609","Karate II","M W  ","3:30 - 4:30 pm","LEOCTR STUDIO 1","Joel Ertl","8 / 10"
"PE 18-01","10610","Pilates","M W  ","4:45 - 5:45 pm","LEOCTR STUDIO 2","Emma Fitzsimmons","-1 / 20"
"PE 20-01","10611","Weight Training","M W  ","2:20 - 3:20 pm","LEOCTR FITNESS RM","Scott Hintz","-1 / 25"
"PE 24-01","10613","Racquet Sports"," T R ","9:00 - 10:00 am","LEOCTR FIELDHOUSE","Matthew Reed","2 / 12"
"PE 33-01","10614","Salsa Dance","  W  ","7:00 - 8:30 pm","LEOCTR STUDIO 1","Don DeBoer","4 / 20"
"PE 40-01","10615","Self Defense"," T R ","1:20 - 2:20 pm","LEOCTR STUDIO 2","Gina Wood","7 / 20"
"PE 55-01","10616","Basketball"," T R ","1:20 - 2:20 pm","LEOCTR GYM","Abraham Woldeslassie","13 / 20"
"PE 56-01","10617","Bowling","   R ",NA,NA,"Donnie Brooks","3 / 12"
"PE 70-01","10618","Monday Night Football","M    ",NA,NA,"Phil Nicolaides","3 / 20"
"PHYS 113-01","10619","Modern Astronomy I","M W F","2:20 - 3:20 pm","OLRI 150","Anna Williams","12 / 63"
"PHYS 126-01","10620","Introductory Physics I","M W F","1:10 - 2:10 pm","OLRI 150","Saki Khan","5 / 36"
"PHYS 126-L1","10621","Introductory Physics I Lab","   R ","1:20 - 4:30 pm","OLRI 152","Brian Adams","0 / 18"
"PHYS 126-L2","10924","Introductory Physics I Lab","   R ","8:00 - 11:10 am","OLRI 152","Brian Adams","5 / 18"
"PHYS 194-F1","10622","Rocket Science","M W F","1:10 - 2:10 pm","OLRI 101","Tonnis ter Veldhuis","0 / 17"
"PHYS 194-F2","10964","Principles of Sustainable Design","M W F","12:00 - 1:00 pm","OLRI 150","James Doyle","0 / 18"
"PHYS 194-L1","10623","Rocket Science Lab","   R ","8:00 - 11:10 am","OLRI 143","Tonnis ter Veldhuis","0 / 9"
"PHYS 194-L2","10624","Rocket Science Lab","   R ","1:20 - 4:30 pm","OLRI 143","Tonnis ter Veldhuis","0 / 8"
"PHYS 226-01","10625","Principles of Physics I","M W F","10:50 - 11:50 am","OLRI 150","Tonnis ter Veldhuis","6 / 36"
"PHYS 226-L1","10626","Principles of Physics I Lab"," T   ","9:10 - 11:10 am","OLRI 152","Brian Adams","3 / 18"
"PHYS 226-L2","10627","Principles of Physics I Lab"," T   ","1:20 - 3:20 pm","OLRI 152","Brian Adams","3 / 18"
"PHYS 331-01","10630","Modern Physics","M W F","9:40 - 10:40 am","OLRI 150","James Heyman","12 / 24"
"PHYS 331-L1","10631","Modern Physics Lab","   R ","8:00 - 11:10 am","OLRI 154","James Heyman","6 / 12"
"PHYS 331-L2","10632","Modern Physics Lab","   R ","1:20 - 4:30 pm","OLRI 154","James Heyman","6 / 12"
"PHYS 394-01","10633","Condensed Matter Physics","M W F","12:00 - 1:00 pm","OLRI 101","James Heyman","14 / 24"
"PHYS 443-01","10634","Electromagnetic Theory I","M W F","10:50 - 11:50 am","OLRI 101","Anna Williams","19 / 24"
"PHYS 443-L1","10635","Electromagnetic Theory I Lab","M    ","3:30 - 4:30 pm","OLRI 154","James Doyle","19 / 24"
"PHYS 481-01","10636","Quantum Mechanics","M W F","9:40 - 10:40 am","OLRI 101","Saki Khan","12 / 24"
"PHYS 481-L1","10637","Quantum Mechanics Lab","    F","3:30 - 4:30 pm","OLRI 154","Saki Khan","12 / 24"
"PHYS 489-01","10638","Physics Seminar","  W  ","3:30 - 4:30 pm","OLRI 150","Anna Williams","50 / 63"
"POLI 120-01","10639","Foundations of International Politics","M W F","9:40 - 10:40 am","CARN 06A","Sheharyar Imran","3 / 25"
"POLI 140-01","10640","Foundations of Comparative Politics","M W F","9:40 - 10:40 am","CARN 206","Felipe Ribeiro","3 / 25"
"POLI 160-01","10641","Foundations of Political Theory"," T R ","1:20 - 2:50 pm","ARTCOM 102","Della Zurick","0 / 25"
"POLI 160-02","11000","Foundations of Political Theory","M W F","1:10 - 2:10 pm","CARN 304","Della Zurick","2 / 25"
"POLI 194-F1","10642","Human Rights, Human Wrongs","M W F","10:50 - 11:50 am","THEATR 213","Wendy Weber","0 / 17"
"POLI 202-01","10643","US Campaigns and Elections","M W F","10:50 - 11:50 am","CARN 206","Julie Dolan","2 / 25"
"POLI 203-01","10644","Politics and Inequality: The American Welfare State","M W F","9:40 - 10:40 am","LIBR 250","Lesley Lavery","1 / 25"
"POLI 203-F1","10646","Politics and Inequality: The American Welfare State","M W F","10:50 - 11:50 am","LIBR 250","Lesley Lavery","0 / 18"
"POLI 206-01","10648","US Constitutional Law and Thought"," T R ","9:40 - 11:10 am","CARN 206","Patrick Schmidt","1 / 25"
"POLI 213-01","10649","Politics in Action","  W  ","8:30 - 9:30 am","LIBR 250","Lesley Lavery","17 / 25"
"POLI 213-02","10650","Politics in Action","  W  ","12:00 - 1:00 pm","LIBR 250","Lesley Lavery","17 / 25"
"POLI 215-01","10301","Environmental Politics/Policy"," T R ","3:00 - 4:30 pm","THEATR 204","Roopali Phadke","8 / 24"
"POLI 242-01","10651","Political Economy of Development"," T R ","1:20 - 2:50 pm","CARN 204","Lisa Mueller","9 / 20"
"POLI 250-01","10737","Comparative-Historical Methods for Social Science","M W F","10:50 - 11:50 am","THEATR 001","Erik Larson","1 / 29"
"POLI 269-01","10654","Empirical Research Methods","M W F","1:10 - 2:10 pm","CARN 206","Julie Dolan","-2 / 25"
"POLI 277-01","10408","Metaphysics in Secular Thought"," T R ","3:00 - 4:30 pm","HUM 401","Kiarina Kordela","3 / 25"
"POLI 292-01","11032","Human Rights at the High Table: Protection Mandates in the United Nations Security Council","M    ","8:00 - 9:30 am","CARN 305","Andrew Latham","-3 / 25"
"POLI 294-01","10655","A New Cold War? US-China Relations in the 2020’s"," T R ","1:20 - 2:50 pm","CARN 105","Andrew Latham","8 / 25"
"POLI 294-02","10656","Marx and Foucault","M W F","10:50 - 11:50 am","CARN 204","Rothin Datta","5 / 20"
"POLI 294-04","10858","Politics of Latin America","M W F","2:20 - 3:20 pm","CARN 206","Felipe Ribeiro","9 / 25"
"POLI 320-01","10657","Global Political Economy"," T R ","9:40 - 11:10 am","OLRI 300","Sheharyar Imran","1 / 20"
"POLI 323-01","10659","Humanitarianism in World Politics"," T R ","1:20 - 2:50 pm","HUM 216","Wendy Weber","6 / 20"
"POLI 394-01","10660","Just War and the Politics of Violence"," T R ","3:00 - 4:30 pm","ARTCOM 102","Della Zurick","6 / 20"
"POLI 400-01","10661","Senior Research Seminar","M W F","1:10 - 2:10 pm","CARN 204","Rothin Datta","6 / 15"
"POLI 400-02","10662","Senior Research Seminar"," T R ","1:20 - 2:50 pm","CARN 05","Patrick Schmidt","1 / 15"
"POLI 400-03","10663","Senior Research Seminar","M W F","1:10 - 2:10 pm","CARN 105","Wendy Weber","4 / 15"
"POLI 400-04","10664","Senior Research Seminar"," T R ","3:00 - 4:30 pm","CARN 204","Lisa Mueller","2 / 15"
"PORT 111-01","10760","Accelerated Beginning Portuguese","M W F","1:10 - 2:10 pm","HUM 215","Fernanda Bartolomei-Merlin","-1 / 17"
"PORT 111-02","10761","Accelerated Beginning Portuguese","M W F","2:20 - 3:20 pm","HUM 215","Fernanda Bartolomei-Merlin","4 / 15"
"PORT 394-01","10890","Cronicas, Snapshots of Brazil","M W F","10:50 - 11:50 am","HUM 212","Fernanda Bartolomei-Merlin","1 / 15"
"PSYC 100-01","10665","Introduction to Psychology","M W F","9:40 - 10:40 am","THEATR 205","Annie Pezalla","1 / 36"
"PSYC 100-02","10666","Introduction to Psychology","M W  ","8:00 - 9:30 am","THEATR 205","Keira Leneman","0 / 36"
"PSYC 100-L1","10667","Introduction to Psychology Lab"," T   ","9:40 - 11:10 am","OLRI 352","Jamie Atkins","2 / 16"
"PSYC 100-L2","10668","Introduction to Psychology Lab"," T   ","3:00 - 4:30 pm","OLRI 352","Jamie Atkins","3 / 16"
"PSYC 100-L3","10669","Introduction to Psychology Lab","   R ","9:40 - 11:10 am","OLRI 352","Jamie Atkins","0 / 16"
"PSYC 100-L4","10670","Introduction to Psychology Lab","   R ","1:20 - 2:50 pm","OLRI 352","Jamie Atkins","0 / 16"
"PSYC 100-L5","11014","Introduction to Psychology Lab"," T   ","1:20 - 2:50 pm","OLRI 352","Jamie Atkins","4 / 16"
"PSYC 201-01","10671","Research in Psychology I","M W F","2:20 - 3:20 pm","OLRI 352","Brooke Lea","-2 / 24"
"PSYC 201-L1","10672","Research in Psychology I Lab","   R ","1:20 - 2:50 pm","OLRI 349","Brooke Lea","-4 / 12"
"PSYC 201-L2","10673","Research in Psychology I Lab","   R ","3:00 - 4:30 pm","OLRI 349","Brooke Lea","2 / 12"
"PSYC 220-01","10870","Educational Psychology","M W F","9:40 - 10:40 am","HUM 226","Cristina Silva Gleason","1 / 24"
"PSYC 242-01","10674","Cognitive Psychology","M W F","8:30 - 9:30 am","OLRI 352","Ariel James","0 / 24"
"PSYC 242-L1","10675","Cognitive Psychology Lab"," T   ","9:40 - 11:10 am","OLRI 349","Ariel James","0 / 24"
"PSYC 244-01","10676","Cognitive Neuroscience","M W F","9:40 - 10:40 am","THEATR 204","Darcy Burgund","1 / 30"
"PSYC 244-L1","10677","Cognitive Neuroscience Lab","   R ","9:40 - 11:10 am","THEATR 001","Darcy Burgund","1 / 30"
"PSYC 248-01","10678","Behavioral Neuroscience","M W F","2:20 - 3:20 pm","THEATR 200","Jean-Marie Maddux","0 / 24"
"PSYC 248-L1","10679","Behavioral Neuroscience Lab","   R ","1:20 - 4:30 pm","OLRI 371H","Jean-Marie Maddux","0 / 24"
"PSYC 250-01","10680","Developmental Psychology","M W  ","8:00 - 9:30 am","THEATR 206","Erika DeAngelis","-1 / 28"
"PSYC 252-01","10864","Distress, Dysfunction, and Disorder: Perspectives on the DSM","M W F","9:40 - 10:40 am","THEATR 200","Jieyi Cai","0 / 32"
"PSYC 258-01","10681","Industrial/Organizational Psychology","M    ","7:00 - 10:00 pm","THEATR 203","Keith HalperinKaren Grabow","12 / 24"
"PSYC 264-01","10865","The Psychology of Gender"," T R ","3:00 - 4:30 pm","THEATR 206","Rebecca Bigler","8 / 32"
"PSYC 270-01","10309","Psychology of Sustainable Behavior"," T R ","1:20 - 2:50 pm","OLRI 243","Christie Manning","0 / 20"
"PSYC 272-01","10682","Health Psychology"," T R ","8:00 - 9:30 am","THEATR 205","Grace Vieth","0 / 28"
"PSYC 273-F1","10311","Psychology and/of Climate Change"," T R ","9:40 - 11:10 am","OLRI 243","Christie Manning","1 / 17"
"PSYC 301-01","10684","Research in Psychology II"," T R ","1:20 - 2:50 pm","THEATR 201","Steve Guglielmo","4 / 24"
